Identifiant ICAR;Code postal;Code rue;ICAR - Code rue RN;Code ins commune;Localité;Secteur Electoral;Nom rue;Année de dénomination;Nom rue Population;Code postal Homonyme2;Code rue Homonyme2;Rue nom Homonyme2;Code postal Homonyme3;Code rue Homonyme3;Rue nom Homonyme3;Code postal Homonyme4;Code rue Homonyme4;Rue nom Homonyme4;Collège communal;Conseil Communal;Nom rue RN;Type voirie;Rue dans Corbeille;Voirie Privée/Publique;Rue Régionale/Communale;Nom rue Cadastre;Rue en Majuscule;Nom rue en Minuscule;Mot clé;Code Ins Entité;Entité;Date données Population;Nombre Ménages;Nombre Habitants;Code rue - Nom de rue;Thématique;Localités;Zone(s) stationnement
7753030;5101;4811;4811;92039;ERPENT;14;Allée des Fauvettes;;Allée des Fauvettes(EP);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;AL DES FAUVETTES;FAUVETTES (Allée des );Fauvettes (Allée des );Fauvettes;92094;Namur;2023-05-07;14;32;4811-Allée des Fauvettes;Faune et Flore;Erpent;
7754014;5101;4813;4813;92039;ERPENT;14;Rue des Grimpereaux;;Rue des Grimpereaux(EP);;;;;;;;;;;;;VOIRIE;;PRIVEE;COMMUNALE;R DES GRIMPEREAUX;GRIMPEREAUX (Rue des );Grimpereaux (Rue des );Grimpereaux;92094;Namur;2023-05-07;14;29;4813-Rue des Grimpereaux;Faune et Flore;Erpent;
7754281;5000;1819;1819;92094;NAMUR;05;Rue du Quatrième Génie;2002;Rue du Quatrième Génie(NR)(AVANT 18.12.01 Rue du Luxembourg);;;;;;;;;;2001-12-18;;2002-06-04;VOIRIE;CORBEILLE;PUBLIQUE;COMMUNALE;R DU QUATRIEME GENIE;QUATRIEME GENIE (Rue du );Quatrième Génie (Rue du );Génie;92094;Namur;2023-05-07;1;4;1819-Rue du Quatrième Génie;Militaire;Namur;
7754369;5000;1608;1608;92094;NAMUR;04;Rue Fond des Bas Prés;;Rue Fond des Bas Prés(NR);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;R FOND DES BAS PRES;FOND DES BAS PRES (Rue );Fond des Bas Prés (Rue );Fond des Bas Prés;92094;Namur;2023-05-07;0;0;1608-Rue Fond des Bas Prés;Lieu-dit;Namur;
7753803;5000;1665;1665;92094;NAMUR;04;Rue de la Prévoyance;;Rue de la Prévoyance(NR);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;R DE LA PREVOYANCE;PREVOYANCE (Rue de la );Prévoyance (Rue de la );Prévoyance;92094;Namur;2023-05-07;115;190;1665-Rue de la Prévoyance;Métiers;Namur;
7753052;5000;1044;1044;92094;NAMUR;01;Avenue Arthur Procès;;Avenue Arthur Procès(NR);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;AV ARTHUR PROCES;PROCES (Avenue Arthur );Procès (Avenue Arthur );Procès;92094;Namur;2023-05-07;77;188;1044-Avenue Arthur Procès;Nom propre (masculin);Namur;
7754278;5000;1666;1666;92094;NAMUR;04;Rue du Progrès;;Rue du Progrès(NR);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;R DU PROGRES;PROGRES (Rue du );Progrès (Rue du );Progrès;92094;Namur;2023-05-07;26;42;1666-Rue du Progrès;Métiers;Namur;
7754093;5000;1831;1831;92094;NAMUR;05;Rue des Quatre fils Aymon;;Rue des Quatre fils Aymon(NR);;;;;;;;;;;;;VOIRIE;CORBEILLE;PUBLIQUE;REGIONALE;R DES QUATRES FILS AYMON;QUATRE FILS AYMON (Rue des );Quatre fils Aymon (Rue des );Quatre fils Aymon;92094;Namur;2023-05-07;0;0;1831-Rue des Quatre fils Aymon;Folklore;Namur;
7753302;5000;1669;1669;92094;NAMUR;04;Chemin Racine;;Chemin Racine(NR);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;CHEM RACINE;RACINE (Chemin );Racine (Chemin );Racine;92094;Namur;2023-05-07;0;0;1669-Chemin Racine;Pas de renseignement;Namur;
7754434;5020;8113;8113;92123;TEMPLOUX;30;Rue Jean Fontaine;;Rue Jean Fontaine(TX);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;R J.FONTAINE;FONTAINE (Rue Jean );Fontaine (Rue Jean );Fontaine;92094;Namur;2023-05-07;12;27;8113-Rue Jean Fontaine;Nom propre (masculin);Temploux;
