Type FR;Type NL;Type ENG;Adresse;Adres;Quartier;Wijk;WGS84_LONG;WGS84_LAT;WGS84_LALO;Accèssibilité PMR / Toegankelijkheid PBM;Gratuit / Gratis;Gestion/Beheer;Heures d'ouverture / Openingsuren;Type;Rue;Lokalisatie/localisation;Huisnummer/n° de rue;NIVEAU
TOILETTE;TOILET;TOILET;28, Rue du Congrès;28, Congresstraat;Pentagone;Vijfhoek;4.366062675389353;50.849660278801046;50.849660278801046, 4.366062675389353;Nee / Non;Gratuit / Gratis;Privé;14:00 - 22:30;Gastvrije toiletten / Toilettes accueillantes;Place de la Liberté;Basils Liberté;1;0
TOILETTE;TOILET;TOILET;6, Place de Ninove;6, Ninoofseplein;Pentagone;Vijfhoek;4.338355652315704;50.84904767759363;50.84904767759363, 4.338355652315704;null;?;null;null;Gastvrije toiletten / Toilettes accueillantes;Place de Ninove;Les Brothers;6;0
TOILETTE;TOILET;TOILET;23, Place De Brouckère;23, De Brouckèreplein;Pentagone;Vijfhoek;4.35302196459563;50.85138064820628;50.85138064820628, 4.35302196459563;Ja / Oui;Payant / Betalend;MIVB / STIB;Heures d'ouverture métro / Openingsuren metro;Openbaar toilet / Toilette publique;Place de Brouckère;arrêt de métro STIB / metrohalte MIVB;23;-1
TOILETTE;TOILET;TOILET;5, Place Rouppe;5, Rouppeplein;Pentagone;Vijfhoek;4.345780157600453;50.84325224624663;50.84325224624663, 4.345780157600453;Nee / Non;Gratuit / Gratis;Privé;10:00 - 23:00;Gastvrije toiletten / Toilettes accueillantes;Place Rouppe;Saint d'Hic;5;0
TOILETTE;TOILET;TOILET;1, Place Emile Bockstael;1, Emile Bockstaelplein;Laeken;Laken;4.346798459861276;50.87695712855881;50.87695712855881, 4.346798459861276;Ja / Oui;Gratuit / Gratis;Stad Brussel / Ville de Bruxelles;24h/24h;Openbaar toilet / Toilette publique;Place Emile Bockstael;null;1;0
TOILETTE;TOILET;TOILET;60, Chaussée d'Etterbeek;60, Etterbeeksesteenweg;Nord-Est;Noord-Oost;4.37954907187009;50.84270902454945;50.84270902454945, 4.37954907187009;Ja / Oui;Gratuit / Gratis;NMBS / SNCB;06:15-20:00;Openbaar toilet / Toilette publique;Chaussée d'Etterbeek;Gare Bruxelles-Schuman / Station Brussel-Schuman;60;-1
TOILETTE;TOILET;TOILET;10, Cantersteen;10, Kantersteen;Pentagone;Vijfhoek;4.357337029462011;50.845439083668445;50.845439083668445, 4.357337029462011;Ja / Oui;Payant / Betalend;NMBS / SNCB;07:00-20:00;Openbaar toilet / Toilette publique;Cantersteen;Gare Centrale / Centraal Station;10;-1
TOILETTE;TOILET;TOILET;246, Boulevard Emile Bockstael;246, Emile Bockstaellaan;Laeken;Laken;4.347956559161108;50.87630771110749;50.87630771110749, 4.347956559161108;null;?;Privé;null;Gastvrije toiletten / Toilettes accueillantes;Boulevard Emile Bockstael;Bibliothèque de Laeken;246;0
TOILETTE;TOILET;TOILET;81, Boulevard Anspach;81, Anspachlaan;Pentagone;Vijfhoek;4.348941103249441;50.84776737670403;50.84776737670403, 4.348941103249441;Ja / Oui;Payant / Betalend;MIVB / STIB;Heures d'ouverture métro / Openingsuren metro;Openbaar toilet / Toilette publique;Boulevard Anspach;arrêt de métro STIB / metrohalte MIVB;81;-1
TOILETTE;TOILET;TOILET;20, Rue Evers;20, Eversstraat;Pentagone;Vijfhoek;4.34859259119661;50.83293099794874;50.83293099794874, 4.34859259119661;Ja / Oui;Gratuit / Gratis;Leefmilieu Brussel / Bruxelles Environnement;24h/24h;Openbaar toilet / Toilette publique;Avenue Henri Jaspar;Parc de la Porte de Hal / Hallepoortpark;105;0
TOILETTE;TOILET;TOILET;30, Square Ambiorix;30, Ambiorixsquare;Nord-Est;Noord-Oost;4.383826090507367;50.84635997272628;50.84635997272628, 4.383826090507367;Nee / Non;Payant / Betalend;MIVB / STIB;24h/24h;Openbaar toilet / Toilette publique;Square Ambiorix;arrêt de bus STIB / bushalte MIVB;30;0
TOILETTE;TOILET;TOILET;28, Rue du Chevreuil;28, Reebokstraat;Pentagone;Vijfhoek;4.345931581226617;50.83777171788596;50.83777171788596, 4.345931581226617;null;?;Privé;Lu-ve : 7h30 - 20h30 Sa:7h30-17h Di:7h30-19h00;Gastvrije toiletten / Toilettes accueillantes;Rue du Chevreuil;Bains de Bruxelles;28;0
TOILETTE;TOILET;TOILET;49, Rue de la Madeleine;49, Magdalenasteenweg;Pentagone;Vijfhoek;4.355376370444465;50.845108729524775;50.845108729524775, 4.355376370444465;Ja / Oui;Gratuit / Gratis;Stad Brussel / Ville de Bruxelles;24h/24h;Openbaar toilet / Toilette publique;Rue de la Madeleine;null;49;0
TOILETTE;TOILET;TOILET;26, Rue de l'Abattoir;26, Slachthuisstraat;Pentagone;Vijfhoek;4.339486418570644;50.84797061985707;50.84797061985707, 4.339486418570644;null;?;null;null;Gastvrije toiletten / Toilettes accueillantes;Rue de l'Abattoir;La tour de Plomb;24;0
TOILETTE;TOILET;TOILET;390, Rue de Verdun;390, Verdunstraat;Haren;Haren;4.417955055169578;50.89168468698245;50.89168468698245, 4.417955055169578;Nee / Non;Gratuit / Gratis;Privé;10:00 - 22:00;Gastvrije toiletten / Toilettes accueillantes;Rue de Verdun;Snack Verdun;390;0
