Geo Point;Geo Shape;Identifiant;Code rue (ICAR / BeStaddress);Rue;Code rue;Numéro;Identifiant d'adresse (ICAR / BeStaddress);Commune;Code postal;Places disponibles;Date de création;Date de dernière modification;Statut;Année de mise en service;Largeur;Longueur;Ville
50.6442201108, 5.5488039114;"{""coordinates"": [5.5488039114, 50.6442201108], ""type"": ""Point""}";1101;7730219;rue Bois Gotha;421;73;1130509;Liège;4000;1;2013-05-30;2021-08-19;Existant;;;;Liège
50.6394125746, 5.5411949414;"{""coordinates"": [5.5411949414, 50.6394125746], ""type"": ""Point""}";957;7730235;rue Burenville;424;151;1109396;Liège;4000;1;2013-05-30;2021-09-02;Existant;;;;Liège
50.6283313904, 5.5992689065;"{""coordinates"": [5.5992689065, 50.6283313904], ""type"": ""Point""}";1627;7730243;rue César de Paepe;7953;26;1114622;Liège;4030;1;2021-03-31;2021-03-31;Existant;;;;Liège
50.6119151341, 5.5672422242;"{""coordinates"": [5.5672422242, 50.6119151341], ""type"": ""Point""}";733;7730270;rue Côte d'Or;9817;236;1207184;Liège;4000;1;2013-05-30;2013-05-30;Existant;;;;Liège
50.6750422247, 5.545372334;"{""coordinates"": [5.545372334, 50.6750422247], ""type"": ""Point""}";1016;7730285;rue d'Ans;823;9;1125770;Liège;4000;1;2013-05-30;2021-08-19;Existant;;;;Liège
50.627945591, 5.566464017;"{""coordinates"": [5.566464017, 50.627945591], ""type"": ""Point""}";1126;7730288;rue Dartois;32;33;1114956;Liège;4000;2;2013-05-30;2013-05-30;Existant;;;;Liège
50.6462933235, 5.5716966859;"{""coordinates"": [5.5716966859, 50.6462933235], ""type"": ""Point""}";1307;7730055;place Saint-Lambert;186;30;1874045;Liège;4000;3;2021-03-25;2021-10-25;Existant;;;;Liège
50.6247060356, 5.6017723278;"{""coordinates"": [5.6017723278, 50.6247060356], ""type"": ""Point""}";1347;7730313;rue de Cracovie;7959;37;1125862;Liège;4030;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6257048553, 5.5823711017;"{""coordinates"": [5.5823711017, 50.6257048553], ""type"": ""Point""}";1038;7730316;rue de Fétinne;1218;70;1106459;Liège;4020;1;2013-05-30;2021-04-14;Existant;;;;Liège
50.6238814743, 5.5729197314;"{""coordinates"": [5.5729197314, 50.6238814743], ""type"": ""Point""}";1041;7730319;rue de Fragnée;329;112;1119762;Liège;4000;1;2013-05-30;2021-08-19;Existant;;;;Liège
50.6152972557, 5.6186302741;"{""coordinates"": [5.6186302741, 50.6152972557], ""type"": ""Point""}";1173;7730320;rue de Gaillarmont;7531;105;1111127;Liège;4032;1;;2021-09-02;Existant;;;;Liège
50.618109492, 5.6234928652;"{""coordinates"": [5.6234928652, 50.618109492], ""type"": ""Point""}";1411;7730340;rue de la Briqueterie;7532;1;1113344;Liège;4032;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6340143542, 5.6041554937;"{""coordinates"": [5.6041554937, 50.6340143542], ""type"": ""Point""}";1162;7730326;rue de Herve;798;23;1235597;Liège;4030;1;;2021-03-26;Existant;;;;Liège
50.6270677273, 5.6337634194;"{""coordinates"": [5.6337634194, 50.6270677273], ""type"": ""Point""}";1215;7730326;rue de Herve;7671;480;1108212;Liège;4030;1;;2021-09-02;Existant;;;;Liège
50.6481759438, 5.5559916692;"{""coordinates"": [5.5559916692, 50.6481759438], ""type"": ""Point""}";1435;7730327;rue de Hesbaye;461;88;1871224;Liège;4000;2;2021-03-26;2021-03-26;Existant;;;;Liège
50.6406762358, 5.599951382;"{""coordinates"": [5.599951382, 50.6406762358], ""type"": ""Point""}";1025;7730265;rue Colompré;629;136;1135256;Liège;4020;1;2013-05-30;2021-08-25;Existant;;;;Liège
50.6412383834, 5.5979112991;"{""coordinates"": [5.5979112991, 50.6412383834], ""type"": ""Point""}";1804;7730842;rue du Moulin;6231;142;1914412;Liège;4020;1;2021-08-27;2021-08-27;Existant;;;;Liège
50.6395899698, 5.5874241822;"{""coordinates"": [5.5874241822, 50.6395899698], ""type"": ""Point""}";788;7730380;rue de la Liberté;644;41;1121570;Liège;4020;1;2013-05-30;2013-05-30;Existant;;;;Liège
50.6077933149, 5.6146207741;"{""coordinates"": [5.6146207741, 50.6077933149], ""type"": ""Point""}";1198;7730416;rue de la Station;744;95;1213714;Liège;4032;2;;2021-08-25;Existant;;;;Liège
50.6106680106, 5.5626973717;"{""coordinates"": [5.5626973717, 50.6106680106], ""type"": ""Point""}";1595;7730422;rue de la Veine-Sothuy;9859;1;1121113;Liège;4000;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6467361152, 5.5669353734;"{""coordinates"": [5.5669353734, 50.6467361152], ""type"": ""Point""}";908;7730430;rue de l'Académie;47;43;1103977;Liège;4000;1;2013-05-30;2013-05-30;Existant;;;;Liège
50.6267564403, 5.622654243;"{""coordinates"": [5.622654243, 50.6267564403], ""type"": ""Point""}";1244;7730459;rue de l'Espoir;7662;2;1912233;Liège;4030;1;;2021-09-02;Existant;;;;Liège
50.6468316697, 5.634673302;"{""coordinates"": [5.634673302, 50.6468316697], ""type"": ""Point""}";603;7730480;rue de Meuse;6485;50;1132425;Liège;4020;1;2013-05-30;2021-08-25;Existant;;;;Liège
